step,lat,lon,alt,reward
110,27.231089304858127,78.3377140396095,40000.0,-0.2373113748015021
111,27.219176844290498,78.34853070691362,40000.0,-0.2372912787157111
112,27.207264929850428,78.35934590794349,40000.0,-0.23727115472662264
113,27.195353474924914,78.37015990346941,40000.0,-0.2372545044979779
114,27.183442442633584,78.38097280226988,40000.0,-0.23723931091604755
115,27.171531834094026,78.3917846073251,40000.0,-0.23722413596056868
116,27.15962164893371,78.40259531565488,40000.0,-0.23720893488440198
117,27.14771188845649,78.41340492576906,40000.0,-0.23719370590493782
118,27.13580255191731,78.42421343915778,40000.0,-0.23717849929904333
119,27.123893636708456,78.43502085731116,40000.0,-0.23716333362041042
120,27.111985146555227,78.44582717724896,40000.0,-0.2371481008938281
121,27.100077078849917,78.45663240195141,40000.0,-0.23713292408298003
122,27.088169434710114,78.46743652992839,40000.0,-0.23711772118782393
123,27.076262212273175,78.47823956267003,40000.0,-0.23710255176207284
124,27.06435541302921,78.48904149868619,40000.0,-0.2370873526140349
125,27.052449034929317,78.49984234095713,40000.0,-0.2370722037064843
126,27.040543081326252,78.5106420865026,40000.0,-0.23705699149810244
127,27.028637549426048,78.52144073830284,40000.0,-0.23704183698806447
128,27.016732439601235,78.53223829635786,40000.0,-0.2370266788036679
129,27.004827750734226,78.54303475768741,40000.0,-0.23701150195644005
130,26.992923483942608,78.55383012378161,40000.0,-0.23699632885633037
131,26.98101963885385,78.56462439464046,40000.0,-0.23698115950333887
132,26.969116214909164,78.57541757175409,40000.0,-0.23696601055940847
133,26.957213213784925,78.58620965214224,40000.0,-0.23695081512210892
134,26.945310634177282,78.59700063878518,40000.0,-0.23693566250381992
135,26.933408475154916,78.6077905346631,40000.0,-0.2369205489938031
136,26.921506737090354,78.61857933381556,40000.0,-0.23690537218295504
137,26.909605420356122,78.62936703922279,40000.0,-0.23689022142003524
138,26.897704525697282,78.64015365088478,40000.0,-0.23687506319925888
139,26.885804051437454,78.65093916880156,40000.0,-0.23685992178594462
